SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Al-Ghazi Tractors Limited. ,275.96,275,281,273.5,279.68,3.72,"12,200"
,,,,,,,
Atlas Honda Limited. ,298.01,300,305,295,305,6.99,"7,500"
,,,,,,,
Dewan Farooque Motors Limited [ DEFAULTER SEGMENT ],5.78,5.65,5.79,5.51,5.61,-0.17,"45,500"
,,,,,,,
Ghandhara Nissan Ltd. ,48.58,48.6,49.39,48,48.28,-0.3,"58,500"
,,,,,,,
Ghani Automobile Industries Ltd. ,3.75,3.75,3.84,3.71,3.74,-0.01,"16,500"
,,,,,,,
Hino Pak Motor Limeted. ,290,290,290,281.5,281.75,-8.25,600
,,,,,,,
Honda Atlas Cars (Pak) Ltd. ,136.1,136.25,138,134.5,135.71,-0.39,"62,400"
,,,,,,,
Indus Motor Company Ltd.(XD) ,980.24,971,971,940.01,940.08,-40.16,"3,880"
,,,,,,,
Millat Tractors Limited.(XDXB) ,625.63,630.94,630.99,622,623.5,-2.13,"7,300"
,,,,,,,
Pak Suzuki Motors Co Ltd. ,161.01,160.01,164.98,156.5,160.18,-0.83,"18,200"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Agriautos Industries Co. Ltd.(XD) ,141.05,138,140.5,136.05,137.51,-3.54,"1,800"
,,,,,,,
Atlas Battery Ltd. ,85.04,83.01,84.8,83,84.04,-1,"2,600"
,,,,,,,
Baluchistan Wheels Ltd.(XD) ,44.05,46.25,46.25,46.25,46.25,2.2,"1,500"
,,,,,,,
Exide Pakistan Ltd. ,132.09,130.01,131,130.01,131,-1.09,400
,,,,,,,
General Tyre & Rubber Co.(XB) ,44,44.05,44.5,42.31,42.87,-1.13,"151,000"
,,,,,,,
Loads Limited. ,12.61,12.6,12.61,12.4,12.46,-0.15,"36,500"
,,,,,,,
Thal Limited.(XD) ,232.68,233.5,234,227,229.23,-3.45,"34,900"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
EMCO Industries Ltd. ,24.09,22.9,25,22.89,25,0.91,"4,500"
,,,,,,,
Pak Elektron Ltd. ,18.94,19.18,19.29,18.29,18.38,-0.56,"2,313,500"
,,,,,,,
Siemens (Pak) Eng. Co. Ltd. ,666.32,679,679,662,662,-4.32,"1,100"
,,,,,,,
WAVES Singer Pakistan Ltd.(XB) ,20.82,20.52,21,20.1,20.38,-0.44,"176,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Attock Cement Pak Ltd. ,78.01,77,78.9,76.25,78.9,0.89,"4,500"
,,,,,,,
Bestway Cement Limited. ,91.2,87,91.2,86.64,86.83,-4.37,"59,700"
,,,,,,,
Cherat Cement Co. Ltd.(XDXB) ,32.14,32.4,32.75,31.8,31.98,-0.16,"581,500"
,,,,,,,
D. G. Khan Cement Co. Ltd.(XD) ,56.45,56.36,58.4,55.85,56.61,0.16,"3,871,500"
,,,,,,,
Dewan Cement Limited. ,7.61,7.7,7.8,7.55,7.65,0.04,"243,000"
,,,,,,,
Fauji Cement Co Ltd. ,15.04,15.05,15.4,14.85,14.96,-0.08,"3,695,500"
,,,,,,,
Fecto Cement Ltd.(XD) ,18.21,17.6,18.2,17.55,17.65,-0.56,"4,500"
,,,,,,,
Flying Cement Company Ltd. ,13.51,13.51,14.15,13.15,14.15,0.64,"2,000"
,,,,,,,
Gharibwal Cement Ltd.(XD) ,9.7,9.9,9.94,9.75,9.9,0.2,"14,000"
,,,,,,,
Javedan Corporation Ltd.(XB) ,24.6,24.98,24.98,23.37,23.37,-1.23,"2,000"
,,,,,,,
Kohat Cement Co. Ltd.(XD) ,53.5,54,54.5,53.05,53.39,-0.11,"76,500"
,,,,,,,
Lucky Cement Limited. ,362.93,364,371.5,363.5,365.21,2.28,"781,700"
,,,,,,,
Maple Leaf Cement Factory Ltd.(XD) ,16.88,16.88,17.25,16.7,16.79,-0.09,"2,561,500"
,,,,,,,
Pioneer Cement Ltd. ,23.74,23.6,24.25,23.15,23.57,-0.17,"292,000"
,,,,,,,
Power cement Limited ,5.27,5.25,5.47,5.23,5.28,0.01,"468,000"
,,,,,,,
Safe Mix Concrete Ltd. ,7.21,7.34,7.34,7.34,7.34,0.13,500
,,,,,,,
Thatta Cement Company Ltd. ,8.36,8.6,8.6,8.21,8.23,-0.13,"14,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Agritech Limited ,3.14,3.13,3.27,3.12,3.17,0.03,"410,500"
,,,,,,,
Akzo Nobel Pakistan Limited. ,102.06,101.5,102,100.5,102,-0.06,"1,900"
,,,,,,,
Archroma Pakistan Limited. ,508,508,508,508,508,0,100
,,,,,,,
Berger Paints Pakistan Ltd.(XD) ,64.55,61.75,61.75,61.5,61.5,-3.05,"1,000"
,,,,,,,
Bifo Industries Ltd.(XDXB) ,150.68,153.99,153.99,150.68,152,1.32,"1,000"
,,,,,,,
Buxly Paints Ltd. ,48.56,49.75,49.75,46.14,46.14,-2.42,"7,500"
,,,,,,,
Colgate Palmolive (Pak) Ltd. ,"2,079.00",1975.05,2049,1975.05,2049,-30,240
,,,,,,,
Descon Oxychem Ltd. ,15.01,15.05,15.25,14.6,14.71,-0.3,"628,000"
,,,,,,,
DYNEA Pak.(XD) ,82.05,85.99,85.99,82.05,82.05,0,"1,000"
,,,,,,,
Engro Polymer & Chemicals Ltd. ,27.77,27.6,28.09,27.51,27.62,-0.15,"807,000"
,,,,,,,
Ghani Galobal Holding Limited. ,8.4,8.3,8.88,8.11,8.16,-0.24,"375,500"
,,,,,,,
ICI Pakistan Limited. ,504.24,500,500,490.01,492.23,-12.01,"1,550"
,,,,,,,
Ittehad Chemical Ltd. ,19.54,19.6,19.6,19.6,19.6,0.06,"3,500"
,,,,,,,
Lotte Chemical Pakistan Ltd. ,16.61,16.61,16.65,16.05,16.13,-0.48,"18,392,500"
,,,,,,,
Nimir Industrial Chemical Ltd.(XD) ,50,50,50,50,50,0,"6,000"
,,,,,,,
Nimir Resins Limited. ,6.69,6.69,6.8,6.55,6.58,-0.11,"191,500"
,,,,,,,
Sitara Chemicals.(XD) ,269.33,269.99,269.99,265,265,-4.33,300
,,,,,,,
Sitara Peroxide Limited ,16.93,17.1,17.1,16.46,16.59,-0.34,"81,000"
,,,,,,,
Wah Noble Chemicals Ltd.(XD) ,224.36,227,228,227,227.13,2.77,800
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Golden Arrow. ,6.1,6.2,6.2,6.11,6.2,0.1,"6,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Allied Bank Ltd. ,87.51,87,87,86.52,86.87,-0.64,"50,900"
,,,,,,,
Askari Bank Limited. ,17.61,17.55,17.82,17.25,17.41,-0.2,"246,500"
,,,,,,,
Bank Al-Habib Ltd. ,70.09,70,71,69,70.44,0.35,"157,000"
,,,,,,,
Bank Alfalah Ltd. ,43.57,43.26,44,42.75,43.27,-0.3,"658,500"
,,,,,,,
Bank Of Punjab. ,9.71,9.71,10.07,9.7,9.79,0.08,"7,770,500"
,,,,,,,
Bankislami Pakistan Ltd. ,10.83,10.73,11.24,10.7,10.99,0.16,"12,500"
,,,,,,,
Bankislami Pakistan Ltd.(R2) ,0.38,0.35,0.44,0.26,0.35,-0.03,"66,000"
,,,,,,,
Faysal Bank Limited. ,17,17,17.65,16.99,17.52,0.52,"44,500"
,,,,,,,
Habib Bank Limited.(XD) ,131.08,132.49,132.6,126.81,128.69,-2.39,"1,210,000"
,,,,,,,
Habib Metropolitn Bank Limited. ,31.5,31.5,31.5,31.49,31.5,0,"140,000"
,,,,,,,
JS Bank Limited. ,4.28,4.3,4.3,4.3,4.3,0.02,500
,,,,,,,
MCB Bank Limited. ,169.52,171.5,170.77,167,169.46,-0.06,"976,100"
,,,,,,,
Meezan Bank Limited.(XD) ,79.98,80,81.11,79.55,79.93,-0.05,"117,000"
,,,,,,,
National Bank Of Pakistan. ,34.67,34.95,35.49,33.81,34.02,-0.65,"579,500"
,,,,,,,
Samba Bank Limited. ,5.55,6.55,6.55,6,6.45,0.9,"73,000"
,,,,,,,
Silk Bank Limited. ,0.86,0.89,0.92,0.85,0.85,-0.01,"868,000"
,,,,,,,
Soneri Bank Ltd. ,9.56,9.4,9.4,9.4,9.4,-0.16,500
,,,,,,,
Standard Chartered Bank Pak Ltd. ,22.5,22,22.6,21.38,22.37,-0.13,"20,500"
,,,,,,,
Summit Bank Limited. ,0.91,0.94,0.94,0.8,0.87,-0.04,"1,091,500"
,,,,,,,
The Bank of Khyber. ,11.43,11.4,11.4,11.4,11.4,-0.03,"4,000"
,,,,,,,
United Bank Ltd. ,141.77,143,142,139.16,141,-0.77,"1,457,800"
,,,,,,,
